Place,Name,Club(s),Division,Country
1,WONG Adrian,Dynamo Fencing Club (Canada),,CAN
2,WEI Matt,Dynamo Fencing Club,,CAN
3T,LAK Isaac,SClass Fencing,,CAN
3T,BUDOVSKY boris,Dynamo Fencing Club,British Columbia,CAN
5,CHEN Charlie Tian-You,S-class Fencing,,CAN
6,HAYES Stewart,Dynamo Fencing Club,,CAN
7,YU Jason,Dynamo Fencing Club,,CAN
8,LINDER James,Epic Fencing Club,,CAN
9,YU Kinton ZiRun,Dynamo Fencing Club,,CAN
10,DONG Quintin,Dynamo Fencing Club,,CAN
11,SEIGEL Duncan,Epic Fencing Club,,CAN
12,TUPPER Vijay,Tri-City Fencing Academy,,CAN
13,LI Toby,Edmonton Fencing Club,,CAN
14,CHONG Tristan,S-class Fencing,,CAN
15,YOUNG Max,S-class Fencing,,CAN
16,ZHUO Henry,SClass Fencing,,CAN
17,TEODORO william,SClass Fencing,British Columbia,CAN
18,MIRANDA Ariel,OSM Fencing,,CAN
19,LIU Joseph,SClass Fencing,,CAN
20,LI Gabriel,Dynamo Fencing Club,,CAN